chr1:12610581-12620582 for	chr1:12644296-12654297 rev
chr1:131322686-131331187 for	chr1:131708073-131716574 for
chr1:131345850-131352093 for	chr1:131729929-131736172 for
chr1:131365525-131370650 for	chr1:131750889-131756014 for
chr1:131379798-131385608 for	chr1:131765162-131770972 for
chr1:131416163-131421490 for	chr1:131430371-131435698 for
chr1:131430979-131436716 for	chr1:132781618-132787355 for
chr1:131452634-131458203 for	chr1:132467977-132473546 for
chr1:131497296-131504669 for	chr1:132494972-132502345 for
chr1:131531629-131538485 for	chr1:132522202-132529058 for
chr1:131562259-131567290 for	chr1:132554608-132559639 for
chr1:131591680-131596924 for	chr1:132585337-132590581 for
chr1:131227546-131234939 for	chr1:131609383-131616776 for
chr1:131609383-131616776 for	chr1:132606596-132613989 for
chr1:131781897-131788921 for	chr1:133342025-133349049 for
chr1:131432117-131437745 for	chr1:131801965-131807593 for
chr1:131841375-131847341 for	chr1:132825743-132831709 for
chr1:131912973-131918076 for	chr1:133867319-133872422 for
chr1:131937326-131942330 for	chr1:132917261-132922265 for
chr1:131977298-131982725 for	chr1:134435837-134441264 for
chr1:132014546-132023743 for	chr1:132954829-132964026 for
chr1:132026862-132035585 for	chr1:132955652-132964375 for
chr1:132084178-132089764 for	chr1:134558557-134564143 for
chr1:132111235-132116858 for	chr1:133498783-133504406 for
chr1:132118794-132123864 for	chr1:133506319-133511389 for
chr1:132350463-132359338 for	chr1:133943669-133952544 for
chr1:133943669-133950536 for	chr1:134445011-134451878 for
chr1:132357331-132364134 for	chr1:134451879-134458682 for
chr1:131325021-131330769 for	chr1:132695829-132701577 for
chr1:131782420-131787508 for	chr1:132758351-132763439 for
chr1:132981748-132988764 for	chr1:133986382-133993398 for
chr1:132995342-133001864 for	chr1:133002914-133009436 for
chr1:133011615-133018426 for	chr1:133416696-133423507 for
chr1:133020771-133028287 for	chr1:133427628-133435144 for
chr1:133032868-133042432 for	chr1:133436886-133446450 for
chr1:133080575-133088226 for	chr1:133487088-133494739 for
chr1:133086343-133092044 for	chr1:134150391-134156092 for
chr1:133110362-133123428 for	chr1:133518776-133531842 for
chr1:133123124-133129432 for	chr1:133135710-133142018 for
chr1:133116782-133123123 for	chr1:133129368-133135709 for
chr1:133189576-133196761 for	chr1:133605478-133612663 for
chr1:133196762-133203699 for	chr1:133612664-133619601 for
chr1:133207832-133214641 for	chr1:133624202-133631011 for
chr1:133212860-133231328 for	chr1:133633224-133651692 for
chr1:133233779-133239517 for	chr1:133654143-133659881 for
chr1:133252249-133257861 for	chr1:133672613-133678225 for
chr1:133322758-133327772 for	chr1:133714449-133719463 for
chr1:133332866-133345671 for	chr1:133724557-133737362 for
chr1:133359477-133373244 for	chr1:133753807-133767574 for
chr1:133372814-133380206 for	chr1:133765368-133772760 for
chr1:133396391-133402509 for	chr1:133405248-133411366 for
chr1:133444102-133449128 for	chr1:134567400-134572426 for
chr1:133190790-133195819 for	chr1:133611284-133616313 for
chr1:133606692-133611721 for	chr1:133611284-133616313 for
chr1:133910213-133918271 for	chr1:134413713-134421771 for
chr1:133941919-133950536 for	chr1:134443261-134451878 for
chr1:133970957-133976539 for	chr1:134470054-134475636 for
chr1:134003938-134008959 for	chr1:134519241-134524262 for
chr1:134049658-134057560 for	chr1:134086304-134094206 for
chr1:134059043-134064842 for	chr1:134561816-134567615 for
chr1:134095689-134108695 for	chr1:134561816-134574822 for
chr1:134094207-134101488 for	chr1:134560334-134567615 for
chr1:134074933-134081559 for	chr1:134113353-134119979 for
chr1:134164758-134171482 for	chr1:134625210-134631934 for
chr1:134282591-134290292 for	chr1:134787767-134795468 for
chr1:134717218-134724064 for	chr1:134787767-134794613 for
chr1:134305183-134314190 for	chr1:134316143-134325150 for
chr1:134282743-134288608 for	chr1:134692830-134698695 for
chr1:134692830-134698695 for	chr1:134787919-134793784 for
chr1:134711797-134717230 for	chr1:134724069-134729502 for
chr1:134724069-134729366 for	chr1:134762394-134767691 for
chr1:134714557-134720036 for	chr1:134777426-134782905 for
chr1:134282076-134289437 for	chr1:134716703-134724064 for
chr1:134717487-134723818 for	chr1:134768084-134774415 for
chr1:134285494-134290699 for	chr1:134741582-134746787 for
chr1:134724065-134729366 for	chr1:134762390-134767691 for
chr1:134282859-134288608 for	chr1:134692946-134698695 for
chr1:134692946-134699714 for	chr1:134788035-134794803 for
chr1:134898760-134903805 for	chr1:135084986-135090031 for
chr1:134910097-134917060 for	chr1:135094542-135101505 for
chr1:134917061-134922076 for	chr1:135101506-135106521 for
chr1:134922077-134927384 for	chr1:135106522-135111829 for
chr1:134940226-134948996 for	chr1:135124671-135133441 for
chr1:134946405-134952735 for	chr1:134951733-134958063 for
chr1:134972460-134979868 for	chr1:135149804-135157212 for
chr1:134985591-134993669 for	chr1:135162936-135171014 for
chr1:134993670-135000659 for	chr1:135171015-135178004 for
chr1:135005140-135012820 for	chr1:135193020-135200700 for
chr1:135182485-135188185 for	chr1:135193020-135198720 for
chr1:135014422-135020918 for	chr1:135208846-135215342 for
chr1:135040050-135046809 for	chr1:135234019-135240778 for
chr1:135177614-135188185 for	chr1:135188149-135198720 for
chr1:135195728-135202292 for	chr1:135202272-135208836 for
chr1:135225902-135230934 for	chr1:135230762-135235794 for
chr1:135321562-135326906 for	chr1:135328175-135333519 for
chr1:135617435-135623427 for	chr1:135675103-135681095 for
chr1:135820361-135830407 for	chr1:135831709-135841755 for
chr1:135902607-135912957 for	chr1:135906159-135916509 for
chr1:136052214-136058986 for	chr1:136130732-136137504 for
chr1:136062751-136071630 for	chr1:136143045-136151924 for
chr1:136103672-136108928 for	chr1:136121900-136127156 for
chr1:136108929-136114664 for	chr1:136127157-136132892 for
chr1:136354095-136360278 for	chr1:136362039-136368222 for
chr1:136686331-136695071 for	chr1:136693436-136702176 for
chr1:136820486-136826885 for	chr1:136837704-136844103 for
chr1:136938931-136946262 for	chr1:136946035-136953366 for
chr1:137144981-137153112 for	chr1:137153859-137161990 for
chr1:137190301-137195767 for	chr1:137335319-137340785 for
chr1:137467779-137476068 for	chr1:137823088-137831377 for
chr1:137493488-137504623 for	chr1:137846802-137857937 for
chr1:137508071-137519167 for	chr1:137861385-137872481 for
chr1:137519168-137528280 for	chr1:137872482-137881594 for
chr1:137528281-137540292 for	chr1:137881595-137893606 for
chr1:137544633-137567774 for	chr1:137897947-137921088 for
chr1:137567772-137587930 for	chr1:137921087-137941245 for
chr1:137596042-137602633 for	chr1:137949357-137955948 for
chr1:137602634-137613742 for	chr1:137955949-137967057 for
chr1:137613743-137619765 for	chr1:137967058-137973080 for
chr1:137622001-137628663 for	chr1:137975290-137981952 for
chr1:137631307-137636850 for	chr1:137984596-137990139 for
chr1:137651959-137657340 for	chr1:138008775-138014156 for
chr1:137657341-137666129 for	chr1:138014157-138022945 for
chr1:137663396-137668723 for	chr1:137668724-137674051 for
chr1:137668724-137674051 for	chr1:138025540-138030867 for
chr1:137666130-137685385 for	chr1:138022946-138042201 for
chr1:137685386-137706294 for	chr1:138042202-138063110 for
chr1:137706295-137713315 for	chr1:138063111-138070131 for
chr1:137713802-137719922 for	chr1:138072394-138078514 for
chr1:137721007-137738661 for	chr1:138085913-138103567 for
chr1:137738662-137745647 for	chr1:138103568-138110553 for
chr1:137745648-137750802 for	chr1:138110554-138115708 for
chr1:137750803-137767233 for	chr1:138115709-138132139 for
chr1:137768872-137779507 for	chr1:138141297-138151932 for
chr1:137779508-137790472 for	chr1:138151933-138162897 for
chr1:137790473-137798286 for	chr1:138162898-138170711 for
chr1:137801160-137823220 for	chr1:138173585-138195645 for
chr1:138292702-138298713 for	chr1:138684693-138690704 for
chr1:138317237-138323004 for	chr1:139087285-139093052 for
chr1:138373018-138380569 for	chr1:138389983-138397534 for
chr1:138511444-138517718 for	chr1:138518774-138525048 for
chr1:138542230-138547382 for	chr1:139570516-139575668 for
chr1:139550420-139555572 for	chr1:139570516-139575668 for
chr1:138552185-138558037 for	chr1:139574833-139580685 for
chr1:138620770-138626217 for	chr1:138741580-138747027 for
chr1:138631338-138640863 for	chr1:138752148-138761673 for
chr1:138642680-138648758 for	chr1:138763490-138769568 for
chr1:138648699-138656033 for	chr1:138765957-138773291 for
chr1:138686191-138691911 for	chr1:139029822-139035542 for
chr1:138890315-138895637 for	chr1:138895152-138900474 for
chr1:138961167-138967745 for	chr1:138967558-138974136 for
chr1:139028350-139033463 for	chr1:139074220-139079333 for
chr1:139196194-139201669 for	chr1:139215810-139221285 for
chr1:139548881-139557817 for	chr1:139568977-139577913 for
chr1:139834404-139840421 for	chr1:139847092-139853109 for
chr1:140443335-140448527 for	chr1:140447771-140452963 for
chr1:140606256-140613553 for	chr1:140614197-140621494 for
chr1:140662527-140670623 for	chr1:140671107-140679203 for
chr1:140714439-140719835 for	chr1:141373391-141378787 for
chr1:140729282-140735408 for	chr1:141388234-141394360 for
chr1:140764355-140774096 for	chr1:140781243-140790984 for
chr1:140781243-140790984 for	chr1:141422943-141432684 for
chr1:140781232-140796036 for	chr1:141422932-141437736 for
chr1:140814756-140820433 for	chr1:141463812-141469489 for
chr1:140820270-140829515 for	chr1:141463648-141472893 for
chr1:140864980-140870178 for	chr1:141538617-141543815 for
chr1:140890603-140898267 for	chr1:141553428-141561092 for
chr1:140924139-140931084 for	chr1:141582042-141588987 for
chr1:140952123-140959319 for	chr1:141609652-141616848 for
chr1:140987906-140993523 for	chr1:141650215-141655832 for
chr1:140996250-141003181 for	chr1:141658559-141665490 for
chr1:141032575-141040028 for	chr1:141699890-141707343 for
chr1:141042730-141049476 for	chr1:141712287-141719033 for
chr1:141044523-141051686 for	chr1:141052081-141059244 for
chr1:141065451-141071078 for	chr1:141731470-141737097 for
chr1:141081025-141086533 for	chr1:141747044-141752552 for
chr1:141084220-141091136 for	chr1:141752483-141759399 for
chr1:141140567-141145643 for	chr1:141818190-141823266 for
chr1:141172680-141181862 for	chr1:141842211-141851393 for
chr1:141184017-141189024 for	chr1:141860973-141865980 for
chr1:141196854-141206386 for	chr1:141873810-141883342 for
chr1:141247852-141253379 for	chr1:141935456-141940983 for
chr1:141253605-141264505 for	chr1:141262849-141273749 for
chr1:141273928-141281020 for	chr1:141952288-141959380 for
chr1:141308257-141313838 for	chr1:141997764-142003345 for
chr1:141307629-141317770 for	chr1:141997136-142007277 for
chr1:141317771-141325445 for	chr1:142007278-142014952 for
chr1:141331832-141338963 for	chr1:142021313-142028444 for
chr1:141350974-141356706 for	chr1:141360157-141365889 for
chr1:141399732-141405336 for	chr1:141405060-141410664 for
chr1:141517108-141522606 for	chr1:141539200-141544698 for
chr1:141527285-141534779 for	chr1:141534545-141542039 for
chr1:141268111-141273927 for	chr1:141946471-141952287 for
chr1:143043540-143052964 for	chr1:144212093-144221517 rev
chr1:143153704-143159357 for	chr1:143998229-144003882 rev
chr1:143160391-143165517 for	chr1:143992070-143997196 rev
chr1:143190349-143195612 for	chr1:143194204-143199467 for
chr1:143208294-143213956 for	chr1:143950927-143956589 rev
chr1:143463442-143474188 for	chr1:143692826-143703572 rev
chr1:143474215-143486844 for	chr1:143680196-143692825 rev
chr1:143486846-143493935 for	chr1:143673105-143680194 rev
chr1:145314978-145324060 for	chr1:146130712-146139794 rev
chr1:145446556-145453040 for	chr1:146001993-146008477 rev
chr1:145466812-145473523 for	chr1:145981511-145988222 rev
chr1:148952120-148957572 for	chr1:148984868-148990320 rev
chr1:160701584-160711886 for	chr1:160708990-160719292 for
chr1:227756634-227761798 for	chr1:227996075-228001239 for
chr1:227886375-227893078 for	chr1:227895324-227902027 for
chr1:227938921-227946392 for	chr1:227945641-227953112 for
chr1:227944153-227950872 for	chr1:227948633-227955352 for
chr1:227956023-227961835 for	chr1:227985107-227990919 for
chr1:227975643-227985871 for	chr1:227986843-227997071 for
chr1:228011478-228017056 for	chr1:228013719-228019297 for
chr10:37205104-37218829 for	chr10:37216894-37230619 for
chr10:38590653-38596342 for	chr10:38603925-38609614 for
chr10:38596343-38603924 for	chr10:38609615-38617196 for
chr10:39774481-39784039 for	chr10:39783994-39793552 for
chr10:39884321-39889572 for	chr10:39890768-39896019 for
chr10:39892125-39897828 for	chr10:39903667-39909370 for
chr10:39917904-39922955 for	chr10:39925032-39930083 for
chr10:39931967-39938312 for	chr10:39934343-39940688 for
chr10:39955639-39960692 for	chr10:39961406-39966459 for
chr10:39966130-39971862 for	chr10:39970882-39976614 for
chr10:40041415-40049641 for	chr10:40043791-40052017 for
chr10:40043791-40049641 for	chr10:40046167-40052017 for
chr10:40054241-40062219 for	chr10:40066797-40074775 for
chr10:40073785-40079654 for	chr10:40093127-40098996 for
chr10:40079655-40086484 for	chr10:40098997-40105826 for
chr10:40098997-40105432 for	chr10:40112230-40118665 for
chr10:40054187-40061228 for	chr10:40086085-40093126 for
chr10:40108636-40118665 for	chr10:40137486-40147515 for
chr10:40119497-40129526 for	chr10:40137486-40147515 for
chr10:40099498-40108641 for	chr10:40147352-40156495 for
chr10:40106109-40119502 for	chr10:40134959-40148352 for
chr10:40116970-40129791 for	chr10:40134959-40147780 for
chr10:40112375-40129791 for	chr10:40130364-40147780 for
chr10:40130364-40137491 for	chr10:40141225-40148352 for
chr10:40188384-40194544 for	chr10:40212149-40218309 for
chr10:40193899-40199120 for	chr10:40245157-40250378 for
chr10:40218310-40235956 for	chr10:40246822-40264468 for
chr10:40235957-40244764 for	chr10:40264469-40273276 for
chr10:40230033-40235956 for	chr10:40258545-40264468 for
chr10:40222905-40230013 for	chr10:40258545-40265653 for
chr10:40281100-40289164 for	chr10:40313685-40321749 for
chr10:40302516-40308449 for	chr10:40326616-40332549 for
chr10:40441145-40447227 for	chr10:40452006-40458088 for
chr10:40467939-40473952 for	chr10:40493056-40499069 for
chr10:40486336-40492504 for	chr10:40531137-40537305 for
chr10:40499832-40504975 for	chr10:40501189-40506332 for
chr10:40982213-40989046 for	chr10:40989001-40995834 for
chr10:41137228-41146706 for	chr10:41182709-41192187 for
chr10:41146707-41171072 for	chr10:41192188-41216553 for
chr10:41176252-41182699 for	chr10:41220376-41226823 for
chr10:41521379-41526581 for	chr10:41527827-41533029 for
chr10:41647832-41653452 for	chr10:41650547-41656167 for
chr10:41679247-41685232 for	chr10:41698244-41704229 for
chr10:41710116-41717630 for	chr10:41714864-41722378 for
chr10:41732764-41739523 for	chr10:41739890-41746649 for
chr10:42663507-42674516 for	chr10:42693463-42704472 for
chr10:42678135-42690586 for	chr10:42708091-42720542 for
chr10:42746251-42753061 for	chr10:42750799-42757609 for
chr10:42872800-42877931 for	chr10:42880654-42885785 for
chr10:80575211-80584100 for	chr10:80713378-80722267 for
chr10:134615837-134623465 for	chr10:134619144-134626772 for
chr10:134624877-134630663 for	chr10:134710966-134716752 for
chr10:134626773-134633610 for	chr10:134656563-134663400 for
chr10:134626991-134640176 for	chr10:134650161-134663346 for
chr10:134636921-134643540 for	chr10:134650161-134656780 for
chr10:134633974-134643540 for	chr10:134647214-134656780 for
chr10:134627354-134633556 for	chr10:134647214-134653416 for
chr10:134636921-134652049 for	chr10:134656781-134671909 for
chr10:134643837-134653421 for	chr10:134696826-134706410 for
chr10:134663697-134671909 for	chr10:134696826-134705038 for
chr10:134664521-134669966 for	chr10:134717510-134722955 for
chr10:134641351-134646850 for	chr10:134717510-134723009 for
chr10:134653834-134660093 for	chr10:134720063-134726322 for
chr11:19018507-19042290 for	chr11:19040657-19064440 for
chr11:43091755-43100492 for	chr11:43099947-43108684 for
chr11:51155170-51161091 for	chr11:51162818-51168739 for
chr11:51211635-51220330 for	chr11:51220133-51228828 for
chr11:51714207-51719288 for	chr11:51732906-51737987 for
chr11:51720051-51727806 for	chr11:51738750-51746505 for
chr11:51754134-51759675 for	chr11:51759575-51765116 for
chr11:51800265-51805693 for	chr11:51804515-51809943 for
chr11:52107023-52112722 for	chr11:52115523-52121222 for
chr11:52233532-52240583 for	chr11:52240331-52247382 for
chr11:52282465-52288773 for	chr11:52288415-52294723 for
chr11:52478380-52484007 for	chr11:52499628-52505255 for
chr11:52557073-52565143 for	chr11:52568973-52577043 for
chr11:52565144-52570800 for	chr11:52577044-52582700 for
chr11:52574135-52579361 for	chr11:52587733-52592959 for
chr11:52837567-52850766 for	chr11:52850317-52863516 for
chr11:52889092-52896392 for	chr11:52908636-52915936 for
chr11:52890234-52899961 for	chr11:52982016-52991743 for
chr11:52902114-52908635 for	chr11:52993896-53000417 for
chr11:52915937-52921603 for	chr11:52988175-52993841 for
chr11:52935087-52940179 for	chr11:53026868-53031960 for
chr11:52954940-52961553 for	chr11:53036523-53043136 for
chr11:52963715-52969780 for	chr11:52969664-52975729 for
chr11:52975440-52980637 for	chr11:53053624-53058821 for
chr11:53145002-53150246 for	chr11:53150101-53155345 for
chr11:53299487-53305516 for	chr11:53311045-53317074 for
chr11:53390265-53398064 for	chr11:53395363-53403162 for
chr11:53445864-53456597 for	chr11:53464556-53475289 for
chr11:53725416-53734545 for	chr11:53733911-53743040 for
chr11:53866809-53873527 for	chr11:53876157-53882875 for
chr11:53949169-53955457 for	chr11:54007815-54014103 for
chr11:54149936-54168751 for	chr11:54226420-54245235 for
chr11:54165307-54185158 for	chr11:54317420-54337271 for
chr11:54189017-54199593 for	chr11:54265490-54276066 for
chr11:54191824-54206874 for	chr11:54343943-54358993 for
chr11:54268297-54276066 for	chr11:54343943-54351712 for
chr11:54207120-54241014 for	chr11:54283597-54317491 for
chr11:54199592-54204980 for	chr11:54351711-54357099 for
chr11:54276066-54281454 for	chr11:54351711-54357099 for
chr11:54286250-54298559 for	chr11:54363592-54375901 for
chr11:54209773-54222082 for	chr11:54363592-54375901 for
chr11:61158953-61164457 for	chr11:61177785-61183289 for
chr11:61167434-61172451 for	chr11:61186265-61191282 for
chr11:61175375-61182096 for	chr11:61212839-61219560 for
chr11:61195090-61204458 for	chr11:61213821-61223189 for
chr11:89802749-89835757 for	chr11:89848608-89881616 rev
chr11:94151316-94160084 for	chr11:94179481-94188249 for
chr11:94168215-94175427 for	chr11:94179481-94186693 for
chr11:94153581-94161089 for	chr11:94226809-94234317 for
chr11:94161231-94176927 for	chr11:94183763-94199459 for
chr11:94165662-94175427 for	chr11:94176928-94186693 for
chr11:94176928-94186693 for	chr11:94188194-94197959 for
chr11:94188478-94201261 for	chr11:94211010-94223793 for
chr11:94194111-94201261 for	chr11:94211010-94218160 for
chr11:94167464-94176927 for	chr11:94201262-94210725 for
chr11:94201262-94211009 for	chr11:94212528-94222275 for
chr11:94176984-94186211 for	chr11:94216415-94225642 for
chr11:94165718-94174945 for	chr11:94216415-94225642 for
chr11:94225795-94234153 for	chr11:94237061-94245419 for
chr11:94169795-94176112 for	chr11:94203593-94209910 for
chr11:94203593-94209910 for	chr11:94214859-94221176 for
chr12:34603850-34611021 for	chr12:34610983-34618154 for
chr12:34631970-34637275 for	chr12:34638085-34643390 for
chr12:34770911-34776431 for	chr12:34777705-34783225 for
chr12:34811313-34817239 for	chr12:34915255-34921181 for
chr12:34844415-34849962 for	chr12:34849849-34855396 for
chr12:34846696-34853559 for	chr12:34951997-34958860 for
chr12:34863764-34870642 for	chr12:34970423-34977301 for
chr12:34924864-34930581 for	chr12:34930300-34936017 for
chr12:35021583-35026749 for	chr12:35050107-35055273 for
chr12:35017875-35035949 for	chr12:35046399-35064473 for
chr12:35114613-35120282 for	chr12:35122763-35128432 for
chr12:35223880-35229474 for	chr12:35229313-35234907 for
chr12:35241137-35246395 for	chr12:35246568-35251826 for
chr12:35294862-35300088 for	chr12:35358025-35363251 for
chr12:35300089-35322858 for	chr12:35363252-35386021 for
chr12:35323621-35329215 for	chr12:35386784-35392378 for
chr12:35335738-35341065 for	chr12:35398901-35404228 for
chr12:35341066-35352107 for	chr12:35404229-35415270 for
chr12:35458336-35478272 for	chr12:35478035-35497971 for
chr12:35464957-35472063 for	chr12:35484656-35491762 for
chr12:35543274-35549817 for	chr12:35562969-35569512 for
chr12:35562969-35569512 for	chr12:35575194-35581737 for
chr12:35550196-35558888 for	chr12:35582116-35590808 for
chr12:35558661-35571039 for	chr12:35570886-35583264 for
chr12:36647808-36653140 for	chr12:36656975-36662307 for
